1714935178000	-5.0
1714935178200	-4.0
1714935178400	-3.0
1714935178600	-2.0
1714935178800	-1.0
1714935179000	-0.0
1714935179200	1.0
1714935179400	2.0
1714935179600	3.0
1714935179800	4.0
1714935180000	5.0
1714935180400	3.0
1714935180600	2.0
1714935180800	1.0
1714935181000	0.0
1714935181200	-1.0
1714935181400	-2.0
1714935181600	-3.0
1714935181800	-4.0
1714935182000	-5.0
1714935182600	-2.0
1714935182800	-1.0
1714935183000	-0.0
1714935183200	1.0
1714935183400	2.0
1714935183600	3.0
1714935183800	4.0
1714935184000	5.0
1714935184200	4.0
1714935184400	3.0
1714935184600	2.0
1714935184800	1.0
1714935185000	0.0
1714935185200	-1.0
1714935185400	-2.0
1714935185600	-3.0
1714935186000	-5.0
1714935186200	-4.0
1714935186400	-3.0
1714935186600	-2.0
1714935187000	-0.0
1714935187200	1.0
1714935187400	2.0
1714935187600	3.0
1714935187800	4.0
1714935188000	5.0
1714935188200	4.0
1714935188400	3.0
1714935188600	2.0
1714935188800	1.0
1714935189000	0.0
1714935189200	-1.0
1714935189400	-2.0
1714935189600	-3.0
1714935189800	-4.0
1714935190200	-4.0
1714935190400	-3.0
1714935190600	-2.0
1714935190800	-1.0
1714935191000	-0.0
1714935191200	1.0
1714935191400	2.0
1714935191600	3.0
1714935192000	5.0
1714935192200	4.0
1714935192400	3.0
1714935192600	2.0
1714935192800	1.0
1714935193000	0.0
1714935193200	-1.0
1714935193400	-2.0
1714935193600	-3.0
1714935193800	-4.0
1714935194000	-5.0
1714935194200	-4.0
1714935194400	-3.0
1714935194600	-2.0
1714935194800	-1.0
1714935195000	-0.0
1714935195200	1.0
1714935195400	2.0
1714935195600	3.0
1714935195800	4.0
1714935196000	5.0
1714935196200	4.0
1714935196400	3.0
1714935196600	2.0
1714935196800	1.0
1714935197200	-1.0
1714935197400	-2.0
1714935197600	-3.0
1714935197800	-4.0
1714935198000	-5.0
1714935198200	-4.0
1714935198400	-3.0
1714935198600	-2.0
1714935198800	-1.0
1714935199000	-0.0
1714935199200	1.0
1714935199400	2.0
1714935199600	3.0
1714935199800	4.0
1714935200000	5.0
1714935200200	4.0
1714935200400	3.0
1714935200600	2.0
1714935200800	1.0
1714935201000	0.0
1714935201200	-1.0
1714935201400	-2.0
1714935201600	-3.0
1714935201800	-4.0
1714935202000	-5.0
1714935202200	-4.0
1714935202400	-3.0
1714935202600	-2.0
1714935202800	-1.0
1714935203000	-0.0
1714935203400	2.0
1714935203600	3.0
1714935203800	4.0
1714935204000	5.0
1714935204200	4.0
1714935204400	3.0
1714935204600	2.0
1714935205000	0.0
1714935205200	-1.0
1714935205400	-2.0
1714935205600	-3.0
1714935205800	-4.0
1714935206000	-5.0
1714935206400	-3.0
1714935206600	-2.0
1714935206800	-1.0
1714935207000	-0.0
1714935207400	2.0
1714935207600	3.0
1714935207800	4.0
1714935208000	5.0
1714935208200	4.0
1714935208400	3.0
1714935208600	2.0
1714935208800	1.0
1714935209000	0.0
1714935209200	-1.0
1714935209400	-2.0
1714935209600	-3.0
1714935209800	-4.0
1714935210000	-5.0
1714935210200	-4.0
1714935210400	-3.0
1714935210600	-2.0
1714935211000	-0.0
1714935211200	1.0
1714935211400	2.0
1714935211600	3.0
1714935211800	4.0
1714935212000	5.0
1714935212200	4.0
1714935212400	3.0
1714935212600	2.0
1714935212800	1.0
1714935213000	0.0
1714935213200	-1.0
1714935213400	-2.0
1714935213600	-3.0
1714935213800	-4.0
1714935214000	-5.0
1714935214200	-4.0
1714935214400	-3.0
1714935214600	-2.0
1714935214800	-1.0
1714935215000	-0.0
1714935215200	1.0
1714935215600	3.0
1714935216000	5.0
1714935216200	4.0
1714935216400	3.0
1714935216600	2.0
1714935216800	1.0
1714935217000	0.0
1714935217200	-1.0
1714935217400	-2.0
1714935217600	-3.0
1714935217800	-4.0
1714935218000	-5.0
1714935218200	-4.0
1714935218400	-3.0
1714935218600	-2.0
1714935218800	-1.0
1714935219000	-0.0
1714935219200	1.0
1714935219400	2.0
1714935219600	3.0
1714935219800	4.0
1714935220000	5.0
1714935220200	4.0
1714935220400	3.0
1714935220600	2.0
1714935220800	1.0
1714935221000	0.0
1714935221200	-1.0
1714935221400	-2.0
1714935221600	-3.0
1714935221800	-4.0
1714935222000	-5.0
1714935222200	-4.0
1714935222400	-3.0
1714935222600	-2.0
1714935222800	-1.0
1714935223000	-0.0
1714935223200	1.0
1714935223400	2.0
1714935223600	3.0
1714935223800	4.0
1714935224000	5.0
1714935224200	4.0
1714935224400	3.0
1714935224600	2.0
1714935224800	1.0
1714935225000	0.0
1714935225200	-1.0
1714935225400	-2.0
1714935225600	-3.0
1714935225800	-4.0
1714935226000	-5.0
1714935226200	-4.0
1714935226400	-3.0
1714935226600	-2.0
1714935226800	-1.0
1714935227000	-0.0
1714935227200	1.0
1714935227400	2.0
1714935227600	3.0
1714935227800	4.0
1714935228000	5.0
1714935228200	4.0
1714935228400	3.0
1714935228600	2.0
1714935228800	1.0
1714935229000	0.0
1714935229200	-1.0
1714935229400	-2.0
